altname,wiki_id
United States,Q30
TKM,Q874
tm,Q874
🇹🇲,Q874
Turkmenia,Q874
Yarden,Q810
🇯🇴,Q810
Hashemite Kingdom of Jordan,Q810
Kingdom of Jordan,Q810
Giordania,Q810
JOR,Q810
Affghanistan,Q889
Afghania,Q889
Affghanisthan,Q889
Affghaunistan,Q889
Afghanisthan,Q889
Afghaunistan,Q889
Afghaunistaun,Q889
Republic of Poland,Q36
my,Q833
MYS,Q833
Federation of Malaysia,Q833
Malaysia Federation,Q833
🇲🇾,Q833
MAS,Q833
om,Q842
🇴🇲,Q842
omn,Q842
Sultanate of Oman,Q842
سلطنت عمان,Q842
The ROC,Q865
Nanasian,Q865
Taivang,Q865
Taivangʉ,Q865
Taywan,Q865
Bangla Desh,Q902
bd,Q902
People's Republic of Bangladesh,Q902
BAN,Q902
Syrian Arab Republic,Q858
sy,Q858
SYR,Q858
🇸🇾,Q858
the U.S. of A,Q30
the U.S. of America,Q30
the U.S.A.,Q30
the US of A,Q30
the US of America,Q30
U.S. of America,Q30
US of America,Q30
TPE,Q865
Chinese Taipei,Q865
ROC,Q865
Republic of China,Q865
Nationalist China,Q865
Ceylan,Q854
SRI,Q854
ce,Q854
Democratic Socialist Republic of Sri Lanka,Q854
"Lanka, Sri",Q854
lk,Q854
🇱🇰,Q854
lke,Q854
Serendib,Q854
sri,Q854
Taprobane,Q854
سرنديب,Q854
سيلان,Q854
Ceylon,Q854
Srilanka,Q854
se,Q34
Kingdom of Sweden,Q34
Konungariket Sverige,Q34
🇸🇪,Q34
SWE,Q34
Sverige,Q34
🇫🇮,Q33
Finnia,Q33
Land of Thousand Lakes,Q33
Republic of Finland,Q33
Republiken Finland,Q33
Suomen tasavalta,Q33
cf,Q929
🇨🇫,Q929
CAF,Q929
CAR,Q929
Hellenic Republic,Q41
gr,Q41
GRE,Q41
🇬🇷,Q41
el,Q41
Ellada,Q41
Greek Republic,Q41
Hellas,Q41
🇹🇬,Q945
tg,Q945
Togolese Republic,Q945
TOG,Q945
Swiss,Q39
Swiss Confederation,Q39
Korea (South),Q884
Hanguk,Q884
Daehan Minguk,Q884
Daehanminguk,Q884
Korea Republic,Q884
Rep. Korea,Q884
S. Korea,Q884
Choson,Q884
VNM,Q881
Socialist Republic of Vietnam,Q881
SRV,Q881
VIE,Q881
Viet Nam,Q881
Việt Nam,Q881
🇻🇳,Q881
VN,Q881
🇮🇹,Q38
Italian Republic,Q38
Repubblica Italiana,Q38
Republic of Italy,Q38
ITA,Q38
Italia,Q38
IT,Q38
Silla,Q884
SK,Q884
ROK,Q884
kr,Q884
Republic of Korea,Q884
KOR,Q884
🇰🇷,Q884
Republic of Turkey,Q43
Republic of Türkiye,Q43
TUR,Q43
Türkiye,Q43
qat,Q846
qa,Q846
State of Qatar,Q846
🇶🇦,Q846
URU,Q77
uy,Q77
🇺🇾,Q77
Lietuva,Q37
Lietuvos Respublika,Q37
🇱🇹,Q37
Republic of Lithuania,Q37
LTU,Q37
LT,Q37
Polska,Q36
KSA,Q851
Arabia,Q851
sa,Q851
BRU,Q921
bn,Q921
🇧🇳,Q921
Brunei Darussalam,Q921
"Nation of Brunei, the Abode of Peace",Q921
Negara Brunei Darussalam,Q921
BRN,Q921
China,Q148
China PR,Q148
CHN,Q148
cn,Q148
CN,Q148
🇨🇳,Q148
Mainland China,Q148
PR China,Q148
PRC,Q148
RPC,Q148
Republic of France,Q142
Free China,Q865
"China, Republic",Q865
Chunghwa Minkuo,Q865
Chunghwa Minkwo,Q865
Taiwan ROC,Q865
Formosa,Q865
Republic of China (Taiwan),Q865
Taioan,Q865
🇹🇼,Q865
TWN,Q865
TW,Q865
U. K.,Q145
U.K.,Q145
Jabuuti,Q977
🇩🇯,Q977
dj,Q977
Jībūtī,Q977
Republic of Djibouti,Q977
NL,Q55
Holland,Q55
Nederland,Q55
NED,Q55
🇳🇱,Q55
nl,Q55
the Netherlands,Q55
MEX,Q96
MX,Q96
mx,Q96
🇪🇷,Q986
Ertrā,Q986
Iritriyā,Q986
State of Eritrea,Q986
IRI,Q986
ERI,Q986
er,Q986
G. B.,Q145
United Kingdom of Great Britain and Northern Ireland,Q145
Britain,Q145
Great Britain,Q145
G B,Q145
G B R,Q145
G.B.R.,Q145
Great Britain and Northern Ireland,Q145
The UK,Q145
The United Kingdom of Great Britain and Northern Ireland,Q145
U K,Q145
G.B.,Q145
UK,Q145
🇹🇿,Q924
tza,Q924
United Republic of Tanganyika and Zanzibar,Q924
United Republic of Tanzania,Q924
tz,Q924
"Tanzania, United Republic of",Q924
GHA,Q117
Republic of Ghana,Q117
gh,Q117
Luxemburg,Q32
🇱🇺,Q32
LU,Q32
Grand Duchy of Luxembourg,Q32
LUX,Q32
ke,Q114
🇰🇪,Q114
Republic of Kenya,Q114
Republic of Burkina Faso,Q965
Republic of Upper Volta (-1984),Q965
🇧🇫,Q965
bf,Q965
gw,Q1007
🇬🇼,Q1007
Republic of Guinea-Bissau,Q1007
GBS,Q1007
ETH,Q115
🇪🇹,Q115
Federal Democratic Republic of Ethiopia,Q115
et,Q115
Swedish Kingdom,Q34
TAN,Q35
DEN,Q35
DNK,Q35
🇩🇰,Q35
dk,Q35
Denmark proper,Q35
metropolitan Denmark,Q35
DK,Q35
Danmark,Q35
DEK,Q35
🇱🇾,Q1016
LBA,Q1016
State of Libya,Q1016
ly,Q1016
Gouvernement du Burundi,Q967
Republic of Burundi,Q967
Republika y'Uburundi,Q967
bi,Q967
🇧🇮,Q967
ss,Q958
SSD,Q958
Republic of South Sudan,Q958
Southern Sudan,Q958
🇸🇸,Q958
mg,Q1019
🇲🇬,Q1019
MAD,Q1019
🇨🇬,Q971
Congo,Q971
Congo (Brazzaville),Q971
Congo Republic,Q971
Congo-Brazzaville,Q971
Rep. Congo,Q971
Republic of Congo,Q971
Republique du Congo,Q971
République du Congo,Q971
CGO,Q971
cg,Q971
Dahomey,Q962
BEN,Q962
Republic of Benin,Q962
BJ,Q962
🇧🇯,Q962
The Republic of Uganda,Q1036
rw,Q1037
RW,Q1037
Republic of Rwanda,Q1037
🇷🇼,Q1037
SUI,Q39
Confoederatio Helvetica,Q39
km,Q970
al-Ittiḥād al-Qumurī,Q970
Juzur al-Qamar,Q970
Juzur al-Qumur,Q970
Massiwa ya komori,Q970
ouvoimoja wakomori,Q970
the Comoros,Q970
Udzima wa Komori,Q970
Union des Comores,Q970
Union of the Comoros,Q970
COM,Q970
🇰🇲,Q970
Republic of Sierra Leone,Q1044
sl,Q1044
🇸🇱,Q1044
SLE,Q1044
st,Q1039
STP,Q1039
Democratic Republic of São Tomé and Príncipe,Q1039
Sao Tome & Principe,Q1039
São Tomé og Príncipe,Q1039
🇸🇹,Q1039
Sao Tome and Principe,Q1039
ae,Q878
🇦🇪,Q878
Emirates,Q878
the Emirates,Q878
the U.A.E.,Q878
the UAE,Q878
the United Arab Emirates,Q878
U.A.E.,Q878
UAE,Q878
SOM,Q1045
🇸🇴,Q1045
so,Q1045
Federal Republic of Somalia,Q1045
Côte d'Ivoire,Q1008
ci,Q1008
The Ivory Coast,Q1008
Cote d'Ivoire,Q1008
Cote d'lvoire,Q1008
Côte d’Ivoire,Q1008
Cote Ivoire,Q1008
Cote-d'Ivoire,Q1008
Côte-d'Ivoire,Q1008
Republic of Cote d'Ivoire,Q1008
Republic of Côte d'Ivoire,Q1008
Republic of Ivory Coast,Q1008
Republic of the Ivory Coast,Q1008
CIV,Q1008
🇨🇮,Q1008
Turkiye,Q43
Republic of Turkiye,Q43
TR,Q43
sn,Q1041
🇸🇳,Q1041
SN,Q1041
SEN,Q1041
af,Q889
AFG,Q889
🇦🇫,Q889
Islamic Emirate of Afghanistan,Q889
Kosova,Q1246
XK,Q1246
XKX,Q1246
Republic of Kosovo,Q1246
🇽🇰,Q1246
KOS,Q1246
KV,Q1246
POR,Q45
Portuguese Republic,Q45
PRT,Q45
🇵🇹,Q45
RUS,Q159
ru,Q159
Federation of Russia,Q159
RF,Q159
RU,Q159
Russian Federation,Q159
Mexican United States,Q96
Mexican Republic,Q96
🇲🇽,Q96
United Mexican States,Q96
US of M,Q96
MXN,Q96
Country of Bengal,Q902
Land of Bengal,Q902
Island of Aruba,Q21203
aw,Q21203
🇦🇼,Q21203
ARU,Q21203
ml,Q912
🇲🇱,Q912
MLI,Q912
Republic of Mali,Q912
🇧🇦,Q225
BiH,Q225
Bosnia & Herzegovina,Q225
Bosnia and Hercegovina,Q225
Bosnia-Herzegovina,Q225
me,Q236
Crna Gora,Q236
🇲🇪,Q236
MNE,Q236
KEN,Q114
KE,Q114
ANG,Q916
ao,Q916
🇦🇴,Q916
Ngola,Q916
Republic of Angola,Q916
COD,Q974
🇨🇩,Q974
DRC,Q974
Congo,Q974
Zaire,Q974
cd,Q974
Congo (Kinshasa),Q974
Congo-Kinshasa,Q974
Dem. Rep. Congo,Q974
Dem. Republic of Congo,Q974
Dem. Republic of the Congo,Q974
Democratic Republic of Congo,Q974
DR Congo,Q974
D.R.C.,Q974
vat,Q237
va,Q237
Vatican,Q237
People's Republic of Albania,Q222
People's Socialist Republic of Albania,Q222
AL,Q222
ALB,Q222
🇦🇱,Q222
Republic of Albania,Q222
Gabuuti,Q977
GAB,Q1000
🇬🇦,Q1000
Gabonese Republic,Q1000
Republique Gabonaise,Q1000
République Gabonaise,Q1000
ga,Q1000
bt,Q917
BHU,Q917
🇧🇹,Q917
Kingdom of Bhutan,Q917
White Ruthenia,Q184
Belorussia,Q184
Bielorussia,Q184
Byeloruss,Q184
Republic of Belarus,Q184
Respublika Belarus',Q184
Respublika Bielaruś,Q184
🇧🇾,Q184
BLR,Q184
Byelorussia,Q184
Bielaruś,Q184
White Russia,Q184
by,Q184
Republic of the Philippines,Q928
PHI,Q928
Philippine Islands,Q928
PH,Q928
RP,Q928
🇵🇭,Q928
The Philippines,Q928
ph,Q928
PHL,Q928
🇨🇰,Q26988
Zhongguo,Q29520
Sinae,Q29520
Khitai,Q29520
Chunghwa,Q29520
Katay,Q29520
Cathay,Q29520
Zhonghua,Q29520
Chinese Empire,Q29520
All under Heaven,Q29520
Tianxia,Q29520
Chung-kuo,Q29520
Middle Kingdom,Q29520
GM,Q1005
Gambia,Q1005
Cape Verde Islands,Q1011
🇨🇻,Q1011
Republic of Cabo Verde,Q1011
Republic of Cape Verde,Q1011
cv,Q1011
CV,Q1011
CPV,Q1011
Cabo Verde,Q1011
ne,Q1032
🇳🇪,Q1032
Republic Niger,Q1032
Republic of Niger,Q1032
Republic of the Niger,Q1032
The Niger,Q1032
Republic of Tunisia,Q948
tn,Q948
🇹🇳,Q948
TUN,Q948
Tunisian Republic,Q948
BOT,Q963
Lefatshe la Botswana,Q963
Republic of Botswana,Q963
bw,Q963
🇧🇼,Q963
ⵎⵓⵔⴰⴽⵓⵛ,Q1028
Former Yugoslav Republic of Macedonia,Q221
FYR Macedonia,Q221
FYROM,Q221
🇲🇰,Q221
Republic of Macedonia,Q221
Republic of North Macedonia,Q221
MOZ,Q1029
MZ,Q1029
Moçambique,Q1029
NG,Q1033
NGR,Q1033
FN,Q1033
NGA,Q1033
Federal Republic of Nigeria,Q1033
Naija,Q1033
Republic of Zambia,Q953
zm,Q953
🇿🇲,Q953
ZAM,Q953
Zed,Q953
🇱🇸,Q1013
ls,Q1013
The Mountain Kingdom,Q1013
Kingdom of Lesotho,Q1013
LES,Q1013
French Republic,Q142
fr,Q142
Zimbabwe Rhodesia,Q954
zw,Q954
🇿🇼,Q954
Southern Rhodesia,Q954
Republic of Zimbabwe,Q954
Rhodesia,Q954
ZIM,Q954
CY,Q229
🇨🇾,Q229
CYP,Q229
Greek Administration of Southern Cyprus,Q229
Greek Cypriot State,Q229
Republic of Cyprus,Q229
mz,Q1029
🇲🇿,Q1029
Republic of Mozambique,Q1029
República de Moçambique,Q1029
LBR,Q1014
lr,Q1014
🇱🇷,Q1014
Republic of Liberia,Q1014
Roumania,Q218
România,Q218
na,Q1030
NAM,Q1030
Republic of Namibia,Q1030
🇳🇦,Q1030
🇰🇿,Q232
KAZ,Q232
kz,Q232
Qazaqstan,Q232
Republic of Kazakhstan,Q232
BGR,Q219
BUL,Q219
bg,Q219
CAM,Q1009
CM,Q1009
CMR,Q1009
Republic of Cameroon,Q1009
🇨🇲,Q1009
Island,Q189
ISL,Q189
is,Q189
Ysland,Q189
🇮🇸,Q189
Republic of Iceland,Q189
BR Deutschland,Q183
Bundesrepublik Deutschland,Q183
Deutschland,Q183
Federal Republic of Germany,Q183
GAM,Q1005
🇬🇲,Q1005
Islamic Republic of the Gambia,Q1005
Republic of the Gambia,Q1005
Republika e Shqipërisë,Q222
Republika Popullore e Shqiperise,Q222
Republika Popullore Socialiste e Shqiperise,Q222
Shqipërisë,Q222
Malagascar,Q1019
Malagaskar,Q1019
Republic of Madagascar,Q1019
🇳🇬,Q1033
🇲🇼,Q1020
Republic of Malawi,Q1020
mw,Q1020
MAW,Q1020
Estland,Q191
EST,Q191
🇪🇪,Q191
Eesti Vabariik,Q191
Republic of Estonia,Q191
Eesti,Q191
ee,Q191
gn,Q1006
🇬🇳,Q1006
GUI,Q1006
Guinea-Conakry,Q1006
Republic of Guinea,Q1006
Republic of Uganda,Q1036
ug,Q1036
UGA,Q1036
UG,Q1036
🇺🇬,Q1036
HRV,Q224
HR,Q224
CRO,Q224
RH,Q224
mr,Q1025
Mauretania,Q1025
MTN,Q1025
Agawej,Q1025
Gannaar,Q1025
Gànnaar,Q1025
Islamic Republic of Mauritania,Q1025
Moritani,Q1025
🇲🇷,Q1025
Muritanya,Q1025
Murutaane,Q1025
br,Q155
Brasil,Q155
Federative Republic of Brazil,Q155
Latvija,Q211
lv,Q211
LVA,Q211
Latveja,Q211
Latvejas Republika,Q211
Latvijas Republika,Q211
Leţmо̄,Q211
Leţmо̄ Vabāmо̄,Q211
Republic of Latvia,Q211
Latvian Republic,Q211
LAT,Q211
Eastern Republic of Uruguay,Q77
Oriental Republic of Uruguay,Q77
Republic of Qazaqstan,Q232
SK,Q214
🇸🇰,Q214
SVK,Q214
Slovak Republic,Q214
Slovakia (Slovak Republic),Q214
Arab Rep. Egypt,Q79
Arab Republic of Egypt,Q79
🇪🇬,Q79
Rep. Egypt,Q79
Republic of Egypt,Q79
EGY,Q79
eg,Q79
Republic of Malta,Q233
MLT,Q233
MT,Q233
🇲🇹,Q233
slo,Q215
si,Q215
SLO,Q215
Macedonia,Q221
MKD,Q221
MK,Q221
CZE,Q213
Czechia,Q213
CZR,Q213
CZ,Q213
🇲🇺,Q1027
Republic of Mauritius,Q1027
MRI,Q1027
Maurice,Q1027
MU,Q1027
Moris,Q1027
Republic of Bulgaria,Q219
The PRC,Q148
Red China,Q148
Communist China,Q148
Republic of Croatia,Q224
Chung-hua,Q29520
Eastern Asiatic Empire,Q29520
Flowery Kingdom,Q29520
Central Kingdom,Q29520
Celestial Kingdom,Q29520
Bosnia,Q225
BIH,Q225
ba,Q225
B&H,Q225
Slovenija,Q215
Republic of Slovenia,Q215
Republika Slovenija,Q215
🇸🇮,Q215
svn,Q215
ma,Q1028
MAR,Q1028
al-Maġrib,Q1028
Kingdom of Morocco,Q1028
Lmaġrib,Q1028
Marocco,Q1028
Maroc,Q1028
🇲🇦,Q1028
Republic of Senegal,Q1041
Città del Vaticano,Q237
Civitas Vaticana,Q237
Papal State,Q237
State of Vatican City,Q237
Stato della Città del Vaticano,Q237
Status Civitatis Vaticanae,Q237
The Vatican,Q237
🇻🇦,Q237
Vatican City State,Q237
NL,Q29999
🇳🇱,Q29999
Netherlands,Q29999
the Netherlands,Q29999
Republic of Seychelles,Q1042
🇸🇨,Q1042
sc,Q1042
SYC,Q1042
SEY,Q1042
ro,Q218
Rumania,Q218
ROU,Q218
bo,Q750
BOL,Q750
🇧🇴,Q750
bol,Q750
Bolivia (Plurinational State of),Q750
Plurinational State of Bolivia,Q750
Republic of Bolivia,Q750
nr,Q697
Naoero,Q697
Republic of Nauru,Q697
Pleasant Island,Q697
🇳🇷,Q697
al-Sudan,Q1049
as-Sudan,Q1049
as-Sūdān,Q1049
North Sudan,Q1049
Republic of Sudan,Q1049
Republic of the Sudan,Q1049
sd,Q1049
🇸🇩,Q1049
Soudan,Q1049
SUD,Q1049
the Sudan,Q1049
TRI,Q754
🇹🇹,Q754
Republic of Trinidad and Tobago,Q754
Trinidad & Tobago,Q754
tt,Q754
TTO,Q754
Fed. Sts. Micronesia,Q702
Fed. Sts. of Micronesia,Q702
"Federated States of Micronesia, FSM",Q702
Micronesia,Q702
FSM,Q702
fm,Q702
🇫🇲,Q702
CHI,Q298
cl,Q298
🇨🇱,Q298
Republic of Chile,Q298
República de Chile,Q298
Djazaïr,Q262
Dzayer,Q262
Republica Argentina,Q414
PRK,Q423
kp,Q423
🇰🇵,Q423
Democratic People's Republic of Korea,Q423
Republic of Uzbekistan,Q265
Palestinian National Authority,Q219060
Palestine,Q219060
PS,Q219060
Kamboja,Q424
Kampuchea,Q424
KHM,Q424
kh,Q424
Camboya,Q424
Campuchia,Q424
Kambodzha,Q424
🇰🇭,Q424
Kingdom of Cambodia,Q424
az,Q227
Azərbaycan Respublikası,Q227
Republic of Azerbaijan,Q227
Azərbaycan,Q227
AZE,Q227
🇦🇿,Q227
Sint Martin,Q26273
ck,Q26988
Hervey Islands,Q26988
COK,Q26988
Cook Group,Q26988
🇵🇾,Q733
pry,Q733
Heart of South America,Q733
Republic of Paraguay,Q733
py,Q733
Danish Realm,Q756617
Danmarkar Ríki,Q756617
Danmarkip Naalagaaffik,Q756617
Danmarks Rige,Q756617
Kongeriget Danmark,Q756617
Kongsríki Danmarkar,Q756617
Kunngeqarfik Danmarki,Q756617
Realm of Denmark,Q756617
Denmark,Q756617
North Cyprus,Q23681
North Cyprus Turkish Republic,Q23681
Republic of Northern Cyprus,Q23681
The Turkish Republic of Northern Cyprus,Q23681
Turkish Cypriot constituent state,Q23681
Turkish Cypriot state,Q23681
Turkish Cyprus,Q23681
Turkish Federative State of North Cyprus,Q23681
Turkish occupied Cyprus,Q23681
Turkish Republic of Cyprus,Q23681
Turkish Republic of North Cyprus,Q23681
Neocolonial Republic,Q14905932
Cuba,Q14905932
Jat State of Bharatpur,Q854850
Kingdom of Bharatpur,Q854850
St Vincent,Q757
🇻🇨,Q757
Saint Vincent,Q757
St Vincent and the Grenadines,Q757
St. Vincent and the Grenadines,Q757
vc,Q757
vct,Q757
St. Vincent,Q757
TRNC,Q23681
NCY,Q23681
Country of Aruba,Q21203
Chinram,Q124153644
GUY,Q734
Co-operative Republic of Guyana,Q734
gy,Q734
🇬🇾,Q734
Republic of Guyana,Q734
NM,Q221
AD,Q228
Principality of Andorra,Q228
Principality of the Valleys of Andorra,Q228
AND,Q228
St Lucia,Q760
Hewanorra,Q760
lca,Q760
Iyonola,Q760
lc,Q760
🇱🇨,Q760
St. Lucia,Q760
Dawlat al-Bahrain,Q398
ISO 3166-1:BH,Q398
Mamlakat al-Baḥrayn,Q398
مملكة البحرين,Q398
BAH,Q398
bh,Q398
🇧🇭,Q398
Kingdom of Bahrain,Q398
Bahrein Islands,Q398
CL,Q298
MGL,Q711
MNG,Q711
Mongol uls,Q711
mn,Q711
🇲🇳,Q711
Singapore City,Q334
sg,Q334
Lion City,Q334
Republic of Singapore,Q334
🇸🇬,Q334
SG,Q334
Garden City,Q334
SIN,Q334
SGP,Q334
gd,Q769
🇬🇩,Q769
GRN,Q769
gt,Q774
GUA,Q774
Republic of Guatemala,Q774
🇬🇹,Q774
ARM,Q399
AM,Q399
fj,Q712
FIJ,Q712
Fijī,Q712
Fijī Gaṇarājya,Q712
🇫🇯,Q712
Matanitu Tugalala o Viti,Q712
Republic of Fiji,Q712
Republic of the Fiji Islands,Q712
Viti,Q712
Island of Dominica,Q784
Wai'tu kubuli,Q784
Wai‘tu kubuli,Q784
Nederlanden,Q29999
🇨🇺,Q241
Republic of Cuba,Q241
cu,Q241
CUB,Q241
Niuē,Q34020
nu,Q34020
🇳🇺,Q34020
RD,Q786
DR,Q786
Republica Dominicana,Q786
República Dominicana,Q786
Dominicana,Q786
DomRep,Q786
🇩🇴,Q786
DO,Q786
St Martin,Q26273
NL-SX,Q26273
Saint Martin (Dutch part),Q26273
Sint Maarten (Dutch part),Q26273
St. Maarten,Q26273
🇸🇽,Q26273
sxm,Q26273
Saint Martin,Q26273
SX,Q26273
INA,Q252
S'pore,Q334
COL,Q739
🇨🇴,Q739
Colombiá,Q739
ISO 3166-1:CO,Q739
Republic of Colombia,Q739
The Republic of Colombia,Q739
CO,Q739
🇱🇮,Q347
LIE,Q347
Principality of Liechtenstein,Q347
LI,Q347
FL,Q347
li,Q347
Salvador,Q792
Republic of El Salvador,Q792
ESA,Q792
sv,Q792
🇸🇻,Q792
Pelew,Q695
Pelew islands,Q695
🇵🇼,Q695
Republic of Belau,Q695
Republic of Palau,Q695
Belau,Q695
Pellew,Q695
Peeloo,Q695
pw,Q695
Bolivarian Republic of Venezuela,Q717
BR Venezuela,Q717
Estados Unidos de Venezuela,Q717
VE,Q717
🇻🇪,Q717
VEN,Q717
Vzla,Q717
TLS,Q574
🇹🇱,Q574
Democratic Republic of East Timor,Q574
Democratic Republic of Timor-Leste,Q574
Timor Leste,Q574
Timor-Leste,Q574
tl,Q574
au,Q408
Ꜷ,Q408
AUS,Q408
Aussieland,Q408
Straya,Q408
Oz,Q408
Commonwealth of Australia,Q408
AU,Q408
Down Under,Q408
New Holland,Q408
Stria,Q408
td,Q657
Republic of Chad,Q657
🇹🇩,Q657
GUM,Q657
CHA,Q657
Aotearoa,Q664
Aotearoa New Zealand,Q664
Dominion of New Zealand,Q664
nz,Q664
NZ,Q664
🇳🇿,Q664
NZL,Q664
Mzanzi,Q258
People's Democratic Republic of Algeria,Q262
dz,Q262
ALG,Q262
Bharat Ganarajya,Q668
Ellice Islands,Q672
🇹🇻,Q672
tv,Q672
TUV,Q672
IDN,Q252
Republic of Indonesia,Q252
ID,Q252
id,Q252
ws,Q683
SAM,Q683
Independent State of Samoa,Q683
Western Samoa,Q683
🇼🇸,Q683
Republic of South Africa,Q258
SA,Q258
za,Q258
R.S.A.,Q258
RSA,Q258
🇿🇦,Q258
zaf,Q258
sb,Q685
SOL,Q685
🇸🇧,Q685
Republic of Vanuatu,Q686
van,Q686
VAN,Q686
vu,Q686
🇻🇺,Q686
vut,Q686
Hayastani Hanrapetut’yun,Q399
Republic of Armenia,Q399
Hayastan,Q399
PNG,Q691
pg,Q691
Independent State of Papua New Guinea,Q691
🇵🇬,Q691
DPRK,Q423
N. Korea,Q423
DPR Korea,Q423
Republic of Ecuador,Q736
Republic of the Equator,Q736
The Ecuadorian State,Q736
New Zeeland,Q664
Nova Zelandia,Q664
Zeelandia Nova,Q664
Zelandia Nova,Q664
kn,Q763
St. Kitts and Nevis,Q763
SKN,Q763
Federation of Saint Kitts and Nevis,Q763
Kitts & Nevis,Q763
🇰🇳,Q763
kna,Q763
Saint Christopher and Nevis,Q763
St Kitts and Nevis,Q763
St. Kitts & Nevis,Q763
Bharata,Q668
Bharatvarsh,Q668
Hindoostan,Q668
Hindustan,Q668
🇮🇳,Q668
Indostan,Q668
Republic of India,Q668
Bharat,Q668
IND,Q668
IN,Q668
JAM,Q766
Commonwealth of Jamaica,Q766
JM,Q766
JA,Q766
🇯🇲,Q766
Commonwealth of the Bahamas,Q778
🇧🇸,Q778
BAH,Q778
bs,Q778
Bahama Islands,Q778
Bahamas,Q778
ecu,Q736
ec,Q736
ECU,Q736
EC,Q736
🇪🇨,Q736
ag,Q781
A&B,Q781
ANT,Q781
🇦🇬,Q781
Palestinian Authority,Q219060
🇵🇸,Q219060
HON,Q783
HN,Q783
hn,Q783
🇭🇳,Q783
Honduran Republic,Q783
Republic of Honduras,Q783
Commonwealth of Dominica,Q784
The Commonwealth of Dominica,Q784
dm,Q784
DMA,Q784
DOM,Q784
🇩🇲,Q784
Persia,Q794
irn,Q794
Islamic Rep. Iran,Q794
Islamic Republic of Iran,Q794
IRI,Q794
ir,Q794
🇮🇷,Q794
New Hollandia,Q408
Stralia,Q408
Nova Hollandia,Q408
The Commonwealth of Australia,Q408
Argentine Republic,Q414
Republic of Argentina,Q414
